Location,Total Hospitals
United States,4908
Alabama,107
Alaska,19
Arizona,61
Arkansas,83
California,384
Colorado,66
Connecticut,35
Delaware,5
Florida,202
Georgia,147
Hawaii,23
Idaho,40
Illinois,192
Indiana,110
Iowa,116
Kansas,133
Kentucky,103
Louisiana,125
Maine,37
Maryland,49
Massachusetts,80
Michigan,145
Minnesota,133
Mississippi,96
Missouri,117
Montana,53
Nebraska,84
Nevada,24
New Hampshire,28
New Jersey,78
New Mexico,35
New York,212
North Carolina,111
North Dakota,40
Ohio,166
Oklahoma,108
Oregon,60
Pennsylvania,205
Rhode Island,11
South Carolina,62
South Dakota,50
Tennessee,123
Texas,411
Utah,42
Vermont,14
Virginia,87
Washington,84
West Virginia,57
Wisconsin,121
Wyoming,24
