Location,Total Hospitals
United States,5157
Alabama,102
Alaska,20
Arizona,84
Arkansas,92
California,358
Colorado,91
Connecticut,31
Delaware,8
Florida,216
Georgia,142
Hawaii,23
Idaho,47
Illinois,181
Indiana,130
Iowa,118
Kansas,135
Kentucky,104
Louisiana,160
Maine,34
Maryland,48
Massachusetts,75
Michigan,139
Minnesota,123
Mississippi,98
Missouri,119
Montana,59
Nebraska,92
Nevada,47
New Hampshire,28
New Jersey,80
New Mexico,44
New York,161
North Carolina,113
North Dakota,43
Ohio,192
Oklahoma,125
Oregon,61
Pennsylvania,185
Rhode Island,11
South Carolina,74
South Dakota,58
Tennessee,111
Texas,517
Utah,54
Vermont,14
Virginia,94
Washington,92
West Virginia,54
Wisconsin,132
Wyoming,28
