Location,Total Hospitals
United States,4936
Alabama,109
Alaska,22
Arizona,67
Arkansas,85
California,357
Colorado,71
Connecticut,36
Delaware,6
Florida,205
Georgia,149
Hawaii,25
Idaho,39
Illinois,191
Indiana,113
Iowa,116
Kansas,131
Kentucky,105
Louisiana,128
Maine,37
Maryland,50
Massachusetts,80
Michigan,146
Minnesota,133
Mississippi,94
Missouri,119
Montana,54
Nebraska,87
Nevada,32
New Hampshire,28
New Jersey,80
New Mexico,37
New York,203
North Carolina,115
North Dakota,40
Ohio,170
Oklahoma,110
Oregon,58
Pennsylvania,191
Rhode Island,11
South Carolina,63
South Dakota,52
Tennessee,130
Texas,415
Utah,43
Vermont,14
Virginia,87
Washington,86
West Virginia,57
Wisconsin,124
Wyoming,24
