Location,Total Hospitals
United States,5,129
Alabama,102
Alaska,20
Arizona,87
Arkansas,93
California,355
Colorado,92
Connecticut,31
Delaware,8
Florida,213
Georgia,141
Hawaii,23
Idaho,47
Illinois,181
Indiana,130
Iowa,118
Kansas,135
Kentucky,104
Louisiana,159
Maine,34
Maryland,47
Massachusetts,73
Michigan,140
Minnesota,124
Mississippi,99
Missouri,115
Montana,59
Nebraska,93
Nevada,46
New Hampshire,28
New Jersey,79
New Mexico,43
New York,160
North Carolina,111
North Dakota,43
Ohio,187
Oklahoma,125
Oregon,61
Pennsylvania,185
Rhode Island,11
South Carolina,70
South Dakota,57
Tennessee,112
Texas,509
Utah,54
Vermont,14
Virginia,94
Washington,92
West Virginia,54
Wisconsin,133
Wyoming,28
