Location,Total Hospitals
United States,4915
Alabama,108
Alaska,18
Arizona,61
Arkansas,83
California,389
Colorado,69
Connecticut,35
Delaware,5
Florida,202
Georgia,151
Hawaii,21
Idaho,42
Illinois,196
Indiana,109
Iowa,115
Kansas,129
Kentucky,105
Louisiana,123
Maine,37
Maryland,49
Massachusetts,80
Michigan,146
Minnesota,135
Mississippi,95
Missouri,119
Montana,52
Nebraska,85
Nevada,22
New Hampshire,28
New Jersey,80
New Mexico,35
New York,215
North Carolina,113
North Dakota,42
Ohio,163
Oklahoma,108
Oregon,59
Pennsylvania,207
Rhode Island,11
South Carolina,63
South Dakota,48
Tennessee,121
Texas,403
Utah,42
Vermont,14
Virginia,88
Washington,84
West Virginia,57
Wisconsin,118
Wyoming,24
