Location,Total Hospitals
United States,4927
Alabama,109
Alaska,22
Arizona,66
Arkansas,84
California,357
Colorado,73
Connecticut,35
Delaware,6
Florida,203
Georgia,147
Hawaii,24
Idaho,38
Illinois,190
Indiana,114
Iowa,117
Kansas,129
Kentucky,104
Louisiana,132
Maine,37
Maryland,50
Massachusetts,80
Michigan,142
Minnesota,131
Mississippi,94
Missouri,119
Montana,52
Nebraska,85
Nevada,33
New Hampshire,28
New Jersey,79
New Mexico,36
New York,203
North Carolina,114
North Dakota,41
Ohio,171
Oklahoma,112
Oregon,58
Pennsylvania,188
Rhode Island,11
South Carolina,66
South Dakota,52
Tennessee,130
Texas,417
Utah,43
Vermont,14
Virginia,88
Washington,88
West Virginia,56
Wisconsin,124
Wyoming,24
