Location,Total Hospitals
United States,4897
Alabama,109
Alaska,22
Arizona,66
Arkansas,84
California,355
Colorado,75
Connecticut,34
Delaware,6
Florida,200
Georgia,147
Hawaii,23
Idaho,39
Illinois,190
Indiana,114
Iowa,117
Kansas,128
Kentucky,104
Louisiana,129
Maine,37
Maryland,49
Massachusetts,78
Michigan,143
Minnesota,131
Mississippi,95
Missouri,117
Montana,52
Nebraska,85
Nevada,33
New Hampshire,28
New Jersey,73
New Mexico,35
New York,202
North Carolina,113
North Dakota,41
Ohio,171
Oklahoma,113
Oregon,58
Pennsylvania,187
Rhode Island,11
South Carolina,67
South Dakota,51
Tennessee,133
Texas,409
Utah,41
Vermont,14
Virginia,87
Washington,87
West Virginia,56
Wisconsin,124
Wyoming,24
