Location,Total Hospitals
United States,4985
Alabama,105
Alaska,22
Arizona,73
Arkansas,85
California,343
Colorado,80
Connecticut,34
Delaware,7
Florida,210
Georgia,154
Hawaii,26
Idaho,41
Illinois,189
Indiana,125
Iowa,118
Kansas,130
Kentucky,106
Louisiana,126
Maine,37
Maryland,47
Massachusetts,79
Michigan,156
Minnesota,133
Mississippi,96
Missouri,122
Montana,48
Nebraska,88
Nevada,36
New Hampshire,28
New Jersey,73
New Mexico,36
New York,185
North Carolina,117
North Dakota,41
Ohio,183
Oklahoma,113
Oregon,58
Pennsylvania,196
Rhode Island,11
South Carolina,67
South Dakota,53
Tennessee,134
Texas,426
Utah,44
Vermont,14
Virginia,89
Washington,86
West Virginia,56
Wisconsin,124
Wyoming,24
