Location,Total Hospitals
United States,4895
Alabama,107
Alaska,19
Arizona,61
Arkansas,88
California,370
Colorado,68
Connecticut,34
Delaware,6
Florida,203
Georgia,146
Hawaii,24
Idaho,39
Illinois,192
Indiana,112
Iowa,116
Kansas,134
Kentucky,103
Louisiana,127
Maine,37
Maryland,51
Massachusetts,79
Michigan,144
Minnesota,131
Mississippi,92
Missouri,119
Montana,53
Nebraska,85
Nevada,25
New Hampshire,28
New Jersey,78
New Mexico,37
New York,207
North Carolina,113
North Dakota,40
Ohio,163
Oklahoma,108
Oregon,58
Pennsylvania,201
Rhode Island,11
South Carolina,61
South Dakota,50
Tennessee,125
Texas,414
Utah,42
Vermont,14
Virginia,84
Washington,85
West Virginia,57
Wisconsin,121
Wyoming,23
