Location,Total Hospitals
United States,4927
Alabama,106
Alaska,19
Arizona,61
Arkansas,87
California,383
Colorado,68
Connecticut,35
Delaware,6
Florida,202
Georgia,146
Hawaii,25
Idaho,39
Illinois,192
Indiana,112
Iowa,116
Kansas,132
Kentucky,104
Louisiana,128
Maine,37
Maryland,49
Massachusetts,78
Michigan,145
Minnesota,133
Mississippi,91
Missouri,119
Montana,53
Nebraska,86
Nevada,26
New Hampshire,28
New Jersey,81
New Mexico,36
New York,211
North Carolina,113
North Dakota,42
Ohio,168
Oklahoma,105
Oregon,60
Pennsylvania,201
Rhode Island,11
South Carolina,62
South Dakota,51
Tennessee,125
Texas,416
Utah,42
Vermont,14
Virginia,86
Washington,86
West Virginia,57
Wisconsin,120
Wyoming,24
