Location,Total Hospitals
United States,4919
Alabama,108
Alaska,19
Arizona,62
Arkansas,87
California,361
Colorado,70
Connecticut,35
Delaware,6
Florida,203
Georgia,146
Hawaii,24
Idaho,39
Illinois,191
Indiana,113
Iowa,115
Kansas,134
Kentucky,105
Louisiana,131
Maine,37
Maryland,50
Massachusetts,78
Michigan,144
Minnesota,132
Mississippi,93
Missouri,119
Montana,54
Nebraska,85
Nevada,30
New Hampshire,28
New Jersey,80
New Mexico,37
New York,206
North Carolina,115
North Dakota,40
Ohio,166
Oklahoma,109
Oregon,58
Pennsylvania,197
Rhode Island,11
South Carolina,62
South Dakota,51
Tennessee,127
Texas,418
Utah,43
Vermont,14
Virginia,88
Washington,85
West Virginia,57
Wisconsin,121
Wyoming,24
