Location,Total Hospitals
United States,5010
Alabama,109
Alaska,22
Arizona,71
Arkansas,86
California,352
Colorado,78
Connecticut,35
Delaware,7
Florida,211
Georgia,153
Hawaii,25
Idaho,39
Illinois,191
Indiana,123
Iowa,118
Kansas,132
Kentucky,105
Louisiana,130
Maine,37
Maryland,50
Massachusetts,75
Michigan,153
Minnesota,130
Mississippi,98
Missouri,123
Montana,48
Nebraska,86
Nevada,35
New Hampshire,28
New Jersey,73
New Mexico,36
New York,194
North Carolina,116
North Dakota,41
Ohio,181
Oklahoma,115
Oregon,58
Pennsylvania,201
Rhode Island,11
South Carolina,69
South Dakota,53
Tennessee,137
Texas,426
Utah,43
Vermont,14
Virginia,90
Washington,86
West Virginia,56
Wisconsin,126
Wyoming,24
