Location,Total Hospitals
United States,4840
Alabama,95
Alaska,21
Arizona,70
Arkansas,80
California,341
Colorado,79
Connecticut,32
Delaware,7
Florida,210
Georgia,141
Hawaii,23
Idaho,40
Illinois,188
Indiana,119
Iowa,117
Kansas,131
Kentucky,103
Louisiana,118
Maine,34
Maryland,50
Massachusetts,75
Michigan,146
Minnesota,129
Mississippi,93
Missouri,119
Montana,50
Nebraska,88
Nevada,36
New Hampshire,28
New Jersey,75
New Mexico,36
New York,169
North Carolina,112
North Dakota,40
Ohio,179
Oklahoma,110
Oregon,59
Pennsylvania,184
Rhode Island,11
South Carolina,68
South Dakota,53
Tennessee,120
Texas,403
Utah,47
Vermont,14
Virginia,92
Washington,90
West Virginia,54
Wisconsin,127
Wyoming,23
