Location,Total Hospitals
United States,5008
Alabama,108
Alaska,22
Arizona,72
Arkansas,86
California,343
Colorado,81
Connecticut,35
Delaware,7
Florida,210
Georgia,152
Hawaii,25
Idaho,41
Illinois,189
Indiana,123
Iowa,118
Kansas,133
Kentucky,104
Louisiana,128
Maine,37
Maryland,49
Massachusetts,78
Michigan,158
Minnesota,132
Mississippi,97
Missouri,125
Montana,48
Nebraska,87
Nevada,35
New Hampshire,28
New Jersey,74
New Mexico,37
New York,189
North Carolina,115
North Dakota,41
Ohio,183
Oklahoma,116
Oregon,58
Pennsylvania,194
Rhode Island,11
South Carolina,70
South Dakota,53
Tennessee,137
Texas,428
Utah,44
Vermont,14
Virginia,90
Washington,87
West Virginia,56
Wisconsin,126
Wyoming,24
