Location,Total Hospitals
United States,4956
Alabama,109
Alaska,17
Arizona,61
Arkansas,83
California,395
Colorado,67
Connecticut,35
Delaware,6
Florida,203
Georgia,154
Hawaii,22
Idaho,42
Illinois,198
Indiana,111
Iowa,115
Kansas,131
Kentucky,105
Louisiana,122
Maine,37
Maryland,49
Massachusetts,79
Michigan,145
Minnesota,134
Mississippi,96
Missouri,118
Montana,53
Nebraska,85
Nevada,22
New Hampshire,28
New Jersey,81
New Mexico,36
New York,218
North Carolina,114
North Dakota,41
Ohio,167
Oklahoma,109
Oregon,59
Pennsylvania,210
Rhode Island,11
South Carolina,64
South Dakota,48
Tennessee,121
Texas,408
Utah,42
Vermont,14
Virginia,89
Washington,86
West Virginia,58
Wisconsin,123
Wyoming,23
